time,open,high,low,close,volume
27-11-2019,1559.95,1575.5,1556.1,1569.85,4408336
28-11-2019,1572.65,1584.15,1563.95,1580.3,6284885
29-11-2019,1581.95,1581.95,1547.85,1551.15,8484822
02-12-2019,1600,1614.45,1577,1586.5,14275186
03-12-2019,1592.75,1594,1572.6,1578.9,5938786
04-12-2019,1573,1577.5,1533.75,1552.7,9594828
05-12-2019,1574,1579.75,1544,1550.85,9117022
06-12-2019,1553,1568,1541.1,1554.9,5982129
09-12-2019,1556.15,1577.4,1546.5,1572.6,5779807
10-12-2019,1572.05,1573.6,1554.15,1561.95,4650906
11-12-2019,1555.6,1574.5,1550.6,1562.4,5652698
12-12-2019,1570.25,1573.85,1556.65,1568.2,4720977
13-12-2019,1580,1590,1572.4,1582.9,5791522
16-12-2019,1592,1593.9,1564.35,1566.6,5436951
17-12-2019,1566.75,1579,1555.55,1562.7,9291724
18-12-2019,1563,1580,1562,1575.85,6739582
19-12-2019,1573.7,1614.9,1571.8,1609.95,9375484
20-12-2019,1615,1617.55,1596.1,1599.1,9724619
23-12-2019,1560.1,1577.55,1557.8,1571.4,11478429
24-12-2019,1568.9,1572.05,1542.5,1546.45,8251144
26-12-2019,1541.65,1552.95,1510.15,1515.4,13605737
27-12-2019,1527,1546.2,1521.3,1542.35,8081591
30-12-2019,1545.95,1547.65,1528.05,1544.2,7828402
31-12-2019,1542,1543.7,1508.05,1514.05,10150467
01-01-2020,1518,1527.1,1505.5,1509.6,6402372
02-01-2020,1512,1540.95,1512,1535.3,8096561
03-01-2020,1533,1541.65,1523,1537.15,9593498
06-01-2020,1520,1527.9,1498,1501.5,11209343
07-01-2020,1519,1534.5,1513.5,1524.6,7627191
08-01-2020,1515,1534.45,1510,1513.15,7336561
09-01-2020,1538.6,1550,1531.25,1548,6849606
10-01-2020,1551.9,1557.95,1539.65,1547.65,5704686
13-01-2020,1545.05,1558.7,1538.4,1543.7,8358090
14-01-2020,1540,1550,1521.85,1529.4,7230788
15-01-2020,1535.85,1539.9,1518.25,1523.85,7231393
16-01-2020,1529,1543.35,1528,1537.9,5873662
17-01-2020,1553.5,1584.95,1553.2,1581,13469708
20-01-2020,1609,1609,1526.4,1532.35,14878868
21-01-2020,1528.6,1545.85,1522,1533.9,8650831
22-01-2020,1544,1546.75,1531.1,1533.35,4719245
23-01-2020,1536.5,1541.95,1520.7,1526.85,5142088
24-01-2020,1527,1536.35,1518.55,1521.55,6687633
27-01-2020,1514.9,1524.45,1505,1506.55,6120429
28-01-2020,1508.6,1510,1463.6,1471.75,11215313
29-01-2020,1474.05,1494.4,1464.05,1479.85,11313297
30-01-2020,1479,1479.7,1440,1443.75,10241756
31-01-2020,1453,1453.25,1407.2,1411.65,15886673
01-02-2020,1405.3,1426.95,1371.1,1383.35,11022901
03-02-2020,1369.9,1399.95,1363.05,1385.5,14040626
04-02-2020,1400,1432.5,1397.8,1426.4,11604666
05-02-2020,1434.9,1452.8,1430.3,1448.5,8444823
06-02-2020,1454.1,1467,1440.1,1457.8,7103715
07-02-2020,1451,1452.35,1428.3,1433.65,5581641
10-02-2020,1428,1445.5,1410.45,1435.6,6922631
11-02-2020,1447.4,1466.2,1445.05,1452.75,6400245
12-02-2020,1456.15,1474.85,1455,1470.3,6187091
13-02-2020,1477.75,1477.75,1462.6,1474.15,6201763
14-02-2020,1477.25,1501.45,1453.1,1487.6,9704655
17-02-2020,1489,1506.15,1474.3,1478.25,6011340
18-02-2020,1475.9,1475.9,1457.4,1467.4,5086964
19-02-2020,1479.35,1506.45,1475.1,1503.8,6438918
20-02-2020,1497,1508,1483.8,1485.95,7722577
24-02-2020,1469.75,1477,1439.55,1444.95,9769743
25-02-2020,1451.4,1451.4,1410,1416.4,12684109
26-02-2020,1410,1412.35,1387.35,1392,13423661
27-02-2020,1388,1393.8,1369,1386.25,11454300
28-02-2020,1354.9,1357,1325,1328.65,17973847
02-03-2020,1355.1,1369,1301.1,1316.15,13486634
03-03-2020,1329.7,1353.9,1322,1342.85,12525809
04-03-2020,1352,1353.8,1307.9,1339.7,10105782
05-03-2020,1352.2,1357.95,1306,1311.15,13948324
06-03-2020,1270,1288.15,1241.1,1271,15422068
09-03-2020,1240.05,1241,1095,1114.15,40317808
11-03-2020,1108,1178.45,1108,1153.55,27237627
12-03-2020,1085,1101,1048.7,1063,25588170
13-03-2020,998,1140,942.4,1105.3,33509757
16-03-2020,1060.55,1079.7,1005,1015.7,17594729
17-03-2020,1047.25,1060,1003.2,1008,20777442
18-03-2020,1025.3,1035.9,961,968.5,20450497
19-03-2020,920.1,967,892.2,917.7,28072062
20-03-2020,939.5,1034.9,930,1017.95,28967526
23-03-2020,916.2,950,875.65,884.05,18593713
24-03-2020,930,970,895.8,943.4,20919322
25-03-2020,963.8,1151.55,963.25,1082.25,33433126
26-03-2020,1095.8,1116.9,1042.35,1066.2,20912934
27-03-2020,1095,1107.3,1046.2,1065.6,19044644
30-03-2020,1040.6,1074.8,1020,1030.45,13820286
31-03-2020,1073.95,1129.8,1048,1113.75,20249909
01-04-2020,1122.25,1124.6,1045.2,1080.45,19017099
03-04-2020,1134.45,1134.45,1056.3,1077.45,18912044
07-04-2020,1102.1,1214,1100,1206.1,24859057
08-04-2020,1180,1229,1160,1192.15,22803774
09-04-2020,1214,1232.8,1193,1219.95,15101711
13-04-2020,1203.95,1215,1180,1189.15,10822871
15-04-2020,1197.05,1236,1143,1149.85,16147959
16-04-2020,1149.85,1187.45,1145,1168.05,17123533
17-04-2020,1216,1230,1192.65,1224,15209707
20-04-2020,1226,1257,1202,1243.8,16472339
21-04-2020,1210,1252,1164,1237.35,28057706
22-04-2020,1320,1384.9,1300,1363.6,65230894
23-04-2020,1367.35,1385.85,1353.3,1370.9,29928331
24-04-2020,1350.15,1494.95,1347.2,1417,61711388
27-04-2020,1434,1475,1423,1429.75,26736512
28-04-2020,1450,1455.45,1392.15,1428.15,35866381
29-04-2020,1444.9,1453.65,1420,1426.95,17141540
30-04-2020,1453.95,1494.95,1438.05,1466,32617901
04-05-2020,1440,1465,1417.45,1435.2,24439240
05-05-2020,1453.7,1479,1447.2,1460.65,20528706
06-05-2020,1464,1484.95,1445.5,1460.75,18510304
07-05-2020,1455,1513.65,1445,1506.95,22871529
08-05-2020,1545,1579.9,1537.1,1561.8,38522385
11-05-2020,1580,1615,1572.3,1576.8,30670404
12-05-2020,1564.8,1568.35,1465,1479.25,46029119
13-05-2020,1527,1527,1454,1496.45,30658051
14-05-2020,1469,1496.7,1430.05,1435.95,22736714
15-05-2020,1444,1466.7,1415.1,1459.4,28683432
18-05-2020,1470,1482,1428,1440.75,28981620
19-05-2020,1457,1461.7,1403.25,1408.9,19529216
20-05-2020,1410,1446.85,1393,1433.7,25530692
21-05-2020,1435,1461.45,1425,1441.25,18077196
22-05-2020,1451.8,1458,1426.5,1431.55,17458503
26-05-2020,1448.15,1449.7,1416.3,1424.05,15330793
27-05-2020,1431,1454,1412,1445.55,16460764
28-05-2020,1455,1479.75,1449,1472.25,18519252
29-05-2020,1468,1472,1452.65,1464.4,18471770
01-06-2020,1480,1538.35,1475.95,1520.35,18434065
02-06-2020,1526,1540,1520.8,1535.7,10224102
03-06-2020,1545,1560,1533.35,1541.65,11713666
04-06-2020,1544,1589.5,1541,1579.8,15784612
05-06-2020,1595,1618,1573.7,1581.7,15270435
08-06-2020,1618.4,1618.4,1565,1569.5,14498055
09-06-2020,1560.3,1583,1533,1537.15,11934073
10-06-2020,1543.1,1579.55,1540.05,1572.15,10214426
11-06-2020,1566,1567.95,1531,1537.7,9408283
12-06-2020,1500,1593,1497,1588.8,17790565
15-06-2020,1565,1626.95,1561.1,1614.55,24509162
16-06-2020,1643,1648.55,1585.3,1617.7,23623299
17-06-2020,1608.25,1635.45,1602.1,1615.35,19282519
18-06-2020,1607,1665,1605.6,1655.9,18677694
19-06-2020,1670,1788.8,1662,1759.4,48828852
22-06-2020,1773.4,1804.2,1735,1746.15,27781772
23-06-2020,1750,1763.75,1716.1,1720.9,17521196
24-06-2020,1735.9,1772.7,1711.7,1727.85,23808524
25-06-2020,1727,1749,1713.05,1717.9,18312705
26-06-2020,1728.8,1752,1717,1741.65,14270695
29-06-2020,1728.05,1739.75,1715.55,1723.15,11825126
30-06-2020,1737,1741,1695.55,1704.1,13973038
01-07-2020,1720,1749,1708.05,1737.6,13136706
02-07-2020,1743,1767.6,1735.05,1760.35,13286760
03-07-2020,1779.8,1793,1768,1787.9,13584004
06-07-2020,1805,1858,1792.1,1851.8,21698149
07-07-2020,1860,1864.35,1806.3,1823.45,16240102
08-07-2020,1824.05,1834.95,1790,1798,12093523
09-07-2020,1809,1835,1786.25,1824.25,16807403
10-07-2020,1828.5,1884.6,1824.25,1878.05,20195490
13-07-2020,1903.35,1947.7,1900,1935,32124397
14-07-2020,1934,1941.7,1887.3,1917,31073591
15-07-2020,1937.95,1978.8,1798,1844,64458598
16-07-2020,1847,1869,1812.45,1843.4,28133993
17-07-2020,1845,1920,1838,1911.7,22949535
20-07-2020,1917.8,1932,1899.65,1919.9,16887752
21-07-2020,1939,1977,1936.5,1971.55,19463498
22-07-2020,1983,2010,1960.7,2004,27584769
23-07-2020,2003.95,2079.7,1991.35,2057.8,26921058
24-07-2020,2058,2163,2057.8,2146.15,55656793
27-07-2020,2178.8,2198.8,2127.9,2156.2,37060949
28-07-2020,2156.2,2194,2150.65,2177.7,25435618
29-07-2020,2177.9,2182.8,2070.45,2096.65,33536361
30-07-2020,2099,2139.7,2072,2108.85,33624516
31-07-2020,2114.5,2129,2052.8,2067.1,34593375
03-08-2020,2051.3,2057,2003.1,2009,21560137
04-08-2020,2020.6,2167,2000.25,2150.6,42477225
05-08-2020,2169,2196,2118.3,2126.45,34405886
06-08-2020,2157,2167.7,2107.8,2134.1,22762726
07-08-2020,2129.8,2157.8,2120.2,2146.45,15222384
10-08-2020,2159.1,2165,2108.1,2119.85,12441939
11-08-2020,2134.8,2160,2100.35,2133.8,21611359
12-08-2020,2121,2145,2106.8,2127.6,13967529
13-08-2020,2128,2138.9,2110,2122.05,11459251
14-08-2020,2122.55,2157,2089.25,2113.8,15333759
17-08-2020,2105,2105,2070.1,2091.35,14297224
18-08-2020,2085,2134.3,2082.35,2118.55,14097932
19-08-2020,2141,2154,2121.35,2131.55,15731409
20-08-2020,2120,2123.9,2088,2097.05,10402292
21-08-2020,2118,2122,2077,2081.85,11667281
24-08-2020,2091.4,2104.5,2070.5,2095.75,15099030
25-08-2020,2106,2111.3,2078,2082.1,8947709
26-08-2020,2085,2147.95,2047,2137.3,27631028
27-08-2020,2148,2150,2103.25,2110.6,12962139
28-08-2020,2120,2132.9,2106.25,2116.15,12537684
31-08-2020,2174,2174,2060.35,2080.7,28649141
01-09-2020,2100,2122.4,2062.4,2087.25,17821488
02-09-2020,2092,2138,2085,2128.2,12437209
03-09-2020,2128,2138.75,2103,2112.1,8577741
04-09-2020,2083.55,2096.95,2072.2,2077.25,13141705
07-09-2020,2084,2105.75,2044.25,2082.65,10119099
